缺陷No.,单元ID,单元名称,类别No.,类别名称,图像文件名,重心Y,重心X,面积,体积,最大浓淡等级,平均浓淡等级,明暗,主轴长,副轴长,主轴角,针状度,周长,圆形度,等价椭圆主轴长,等价椭圆副轴长,等价椭圆主轴·副轴比,feret直径X,feret直径Y
43,2,"瑕疵",0,"未分类(类别01-19以外)","0000000043_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
44,2,"瑕疵",0,"未分类(类别01-19以外)","0000000044_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
45,2,"瑕疵",0,"未分类(类别01-19以外)","0000000045_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
46,2,"瑕疵",0,"未分类(类别01-19以外)","0000000046_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
47,2,"瑕疵",0,"未分类(类别01-19以外)","0000000047_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
48,2,"瑕疵",0,"未分类(类别01-19以外)","0000000048_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
49,2,"瑕疵",0,"未分类(类别01-19以外)","0000000049_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
50,2,"瑕疵",0,"未分类(类别01-19以外)","0000000050_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
51,2,"瑕疵",0,"未分类(类别01-19以外)","0000000051_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
52,2,"瑕疵",0,"未分类(类别01-19以外)","0000000052_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
53,2,"瑕疵",0,"未分类(类别01-19以外)","0000000053_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
54,2,"瑕疵",0,"未分类(类别01-19以外)","0000000054_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
55,2,"瑕疵",0,"未分类(类别01-19以外)","0000000055_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
56,2,"瑕疵",0,"未分类(类别01-19以外)","0000000056_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
57,2,"瑕疵",0,"未分类(类别01-19以外)","0000000057_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
58,2,"瑕疵",0,"未分类(类别01-19以外)","0000000058_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
59,2,"瑕疵",0,"未分类(类别01-19以外)","0000000059_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
60,2,"瑕疵",0,"未分类(类别01-19以外)","0000000060_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
61,2,"瑕疵",0,"未分类(类别01-19以外)","0000000061_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
62,2,"瑕疵",0,"未分类(类别01-19以外)","0000000062_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
63,2,"瑕疵",0,"未分类(类别01-19以外)","0000000063_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
64,2,"瑕疵",0,"未分类(类别01-19以外)","0000000064_00_000668_000775.bmp",+668.500,+775.500,32,,,,,,,,,,,,,,,
65,2,"瑕疵",0,"未分类(类别01-19以外)","0000000065_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
66,2,"瑕疵",0,"未分类(类别01-19以外)","0000000066_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
67,2,"瑕疵",0,"未分类(类别01-19以外)","0000000067_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
68,2,"瑕疵",0,"未分类(类别01-19以外)","0000000068_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
69,2,"瑕疵",0,"未分类(类别01-19以外)","0000000069_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
